step,domain,loss,bhaya_fired,bhaya_firing_rate,buddhi_score,vairagya_protection_frac,karma_pruned_frac,prana_level
0,0,1.244383,False,0.0,0.027014379637878443,0.0,0.0,1.0
1,0,1.186861,False,0.0,0.02743813109833486,0.003967380523681641,0.0,1.0
2,0,1.127513,False,0.0,0.0278683392006816,0.004207134246826172,0.0,1.0
3,0,1.559633,False,0.0,0.028305096310927595,0.004207134246826172,0.0,1.0
4,0,0.83581,False,0.0,0.02874849592653997,0.004634189605712891,0.0,1.0
5,0,0.359669,False,0.0,0.02919863268418474,0.005773162841796875,0.0,1.0
6,0,1.100474,False,0.0,0.02965560236730284,0.005773162841796875,0.0,1.0
7,0,1.412234,False,0.0,0.03011950191351196,0.005773162841796875,0.0,1.0
8,0,0.631372,False,0.0,0.030590429421823905,0.009016323089599609,0.0,1.0
9,0,0.696693,False,0.0,0.03106848415966741,0.009016323089599609,0.0,1.0
10,0,0.380864,False,0.0,0.03155376656970557,0.010620403289794921,0.0,1.0
11,0,0.93882,False,0.0,0.03204637827643718,0.010620403289794921,0.0,1.0
12,0,0.064807,False,0.0,0.032546422092570575,0.012851715087890625,0.0,1.0
13,0,0.900998,False,0.0,0.03305400202515856,0.012851715087890625,0.0,1.0
14,0,0.513706,False,0.0,0.03356922328148251,0.013402843475341797,0.0,1.0
15,0,0.538685,False,0.0,0.03409219227467352,0.013402843475341797,0.0,1.0
16,0,1.033153,False,0.0,0.03462301662905805,0.013402843475341797,0.0,1.0
17,0,2.667269,False,0.0,0.03516180518521524,0.013402843475341797,0.0,1.0
18,0,0.719245,False,0.0,0.035708668004732894,0.014716339111328126,0.0,1.0
19,0,0.236642,False,0.0,0.036263716374648335,0.016229915618896484,0.0,1.0
20,0,0.913819,False,0.0,0.036827062811560604,0.016229915618896484,0.0,1.0
21,0,0.148636,False,0.0,0.03739882106539965,0.019439506530761718,0.0,1.0
22,0,0.378629,False,0.0,0.03797910612283802,0.019439506530761718,0.0,1.0
23,0,0.159128,False,0.0,0.038568034210330206,0.02080812454223633,0.0,1.0
24,0,0.310348,False,0.0,0.039165722796764356,0.02080812454223633,0.0,1.0
25,0,0.451884,False,0.0,0.0397722905957109,0.02080812454223633,0.0,1.0
26,0,0.208767,False,0.0,0.040387857567251995,0.023161983489990233,0.0,1.0
27,0,0.277441,False,0.0,0.041012544919375574,0.023161983489990233,0.0,1.0
28,0,0.759811,False,0.0,0.041646475108917363,0.023161983489990233,0.0,1.0
29,0,0.284212,False,0.0,0.042289771842033794,0.02613992691040039,0.0,1.0
30,0,0.38308,False,0.0,0.04294256007418843,0.02613992691040039,0.0,1.0
31,0,0.216831,False,0.0,0.04360496600963426,0.02691030502319336,0.0,1.0
32,0,0.064756,False,0.0,0.04427711710037357,0.027385425567626954,0.0,1.0
33,0,0.807975,False,0.0,0.04495914204457714,0.027385425567626954,0.0,1.0
34,0,0.314618,False,0.0,0.04565117078444372,0.0248809814453125,0.0,1.0
35,0,0.108531,False,0.0,0.04635333450348081,0.025954437255859376,0.0,1.0
36,0,1.028597,False,0.0,0.04706576562318694,0.025954437255859376,0.0,1.0
37,0,0.860428,False,0.0,0.047788597799115824,0.026848220825195314,0.0,1.0
38,0,0.649339,False,0.0,0.048521965916301875,0.028376960754394533,0.0,1.0
39,0,1.265709,False,0.0,0.049266006084026655,0.028376960754394533,0.0,1.0
40,0,0.645708,False,0.0,0.05002085562990517,0.025067234039306642,0.0,1.0
41,0,1.076636,False,0.0,0.050786653093270864,0.025067234039306642,0.0,1.0
42,0,0.221798,False,0.0,0.05156353821783743,0.02532672882080078,0.0,1.0
43,0,0.20086,False,0.0,0.05235165194361579,0.025362586975097655,0.0,1.0
44,0,0.187042,False,0.0,0.05315113639806372,0.02541484832763672,0.0,1.0
45,0,0.789687,False,0.0,0.053962134886445655,0.02541484832763672,0.0,1.0
46,0,0.561524,False,0.0,0.05478479188137958,0.027276325225830077,0.0,1.0
47,0,0.421471,False,0.0,0.05561925301154815,0.02829599380493164,0.0,1.0
48,0,1.33119,False,0.0,0.056465665049550126,0.02829599380493164,0.0,1.0
49,0,0.862093,False,0.0,0.057324175898868755,0.02474946975708008,0.0,1.0
50,0,0.113371,False,0.0,0.058194934579932675,0.02686653137207031,0.0,1.0
51,0,0.560013,False,0.0,0.05907809121524554,0.02686653137207031,0.0,1.0
52,0,0.351694,False,0.0,0.05997379701355929,0.02727813720703125,0.0,1.0
53,0,0.219777,False,0.0,0.06088220425306674,0.028098106384277344,0.0,1.0
54,0,0.368752,False,0.0,0.06180346626358857,0.028098106384277344,0.0,1.0
55,0,0.093854,False,0.0,0.06273773740772909,0.026989173889160157,0.0,1.0
56,0,0.41996,False,0.0,0.06368517306097612,0.026989173889160157,0.0,1.0
57,0,0.538748,False,0.0,0.06464592959071908,0.026989173889160157,0.0,1.0
58,0,0.11166,False,0.0,0.06562016433415982,0.02913675308227539,0.0,1.0
59,0,0.566736,False,0.0,0.06660803557509065,0.02913675308227539,0.0,1.0
60,0,1.61527,False,0.0,0.06760970251951359,0.02913675308227539,0.0,1.0
61,0,0.577919,False,0.0,0.06862532527007503,0.025366783142089844,0.0,1.0
62,0,0.913441,False,0.0,0.06965506479929011,0.025366783142089844,0.0,1.0
63,0,0.488667,False,0.0,0.07069908292153071,0.02832651138305664,0.0,1.0
64,0,0.211119,False,0.0,0.07175754226375133,0.028663158416748047,0.0,1.0
65,0,0.547747,False,0.0,0.07283060623492708,0.028663158416748047,0.0,1.0
66,0,1.095714,False,0.0,0.07391843899417791,0.028663158416748047,0.0,1.0
67,0,1.285061,False,0.0,0.07502120541755361,0.028663158416748047,0.0,1.0
68,0,1.370703,False,0.0,0.07613907106345413,0.028663158416748047,0.0,1.0
69,0,0.222116,False,0.0,0.07727220213665989,0.023041534423828124,0.0,1.0
70,0,0.74156,False,0.0,0.07842076545094702,0.023041534423828124,0.0,1.0
71,0,0.112967,False,0.0,0.07958492839026306,0.024922752380371095,0.0,1.0
72,0,0.184146,False,0.0,0.08076485886843796,0.024922752380371095,0.0,1.0
73,0,1.092843,False,0.0,0.08196072528740715,0.024922752380371095,0.0,1.0
74,0,0.32968,False,0.0,0.08317269649392235,0.024340152740478516,0.0,1.0
75,0,0.326165,False,0.0,0.08440094173472694,0.02431831359863281,0.0,1.0
76,0,0.124418,False,0.0,0.08564563061017334,0.02601022720336914,0.0,1.0
77,0,1.663092,False,0.0,0.08690693302625986,0.02601032257080078,0.0,1.0
78,0,0.443267,False,0.0,0.08818501914506544,0.021326446533203126,0.0,1.0
79,0,0.740684,False,0.0,0.0894800593335614,0.021326446533203126,0.0,1.0
80,0,0.87013,False,0.0,0.09079222411077965,0.021326446533203126,0.0,1.0
81,0,0.104218,False,0.0,0.09212168409331789,0.019650077819824217,0.0,1.0
82,0,0.078862,False,0.0,0.09346860993916298,0.019700241088867188,0.0,1.0
83,0,0.171798,False,0.0,0.09483317228981472,0.019700241088867188,0.0,1.0
84,0,0.325227,False,0.0,0.09621554171069283,0.019700241088867188,0.0,1.0
85,0,1.481792,False,0.0,0.09761588862981131,0.019700241088867188,0.0,1.0
86,0,2.178121,False,0.0,0.0990343832747052,0.019700241088867188,0.0,1.0
87,0,0.188458,False,0.0,0.10047119560759603,0.013408565521240234,0.0,1.0
88,0,0.098142,False,0.0,0.10192649525878311,0.013453388214111328,0.0,1.0
89,0,0.297975,False,0.0,0.10340045145824957,0.013453388214111328,0.0,1.0
90,0,1.277953,False,0.0,0.10489323296547301,0.013453388214111328,0.0,1.0
91,0,0.253838,False,0.0,0.1064050079974321,0.013566303253173827,0.0,1.0
92,0,0.868845,False,0.0,0.10793594415480193,0.013566303253173827,0.0,1.0
93,0,0.115485,False,0.0,0.1094862083463327,0.015525531768798829,0.0,1.0
94,0,0.138384,False,0.0,0.11105596671140756,0.015525531768798829,0.0,1.0
95,0,0.30162,False,0.0,0.1126453845407773,0.015525531768798829,0.0,1.0
96,0,0.295276,False,0.0,0.11425462619547148,0.015530014038085937,0.0,1.0
97,0,0.737676,False,0.0,0.11588385502388747,0.015530014038085937,0.0,1.0
98,0,0.690794,False,0.0,0.11753323327706003,0.01561431884765625,0.0,1.0
99,0,0.678095,False,0.0,0.11920292202211755,0.015675163269042967,0.0,1.0
100,0,0.870429,False,0.0,0.12089308105393162,0.015675163269042967,0.0,1.0
101,0,0.169377,False,0.0,0.12260386880496972,0.017500019073486327,0.0,1.0
102,0,0.187965,False,0.0,0.12433544225336303,0.017500019073486327,0.0,1.0
103,0,0.187296,False,0.0,0.1260879568292025,0.01750335693359375,0.0,1.0
104,0,0.114864,False,0.0,0.1278615663190813,0.01772937774658203,0.0,1.0
105,0,0.619076,False,0.0,0.12965642276890063,0.01772937774658203,0.0,1.0
106,0,0.425662,False,0.0,0.1314726763849622,0.017876148223876953,0.0,1.0
107,0,0.094721,False,0.0,0.13331047543337043,0.01790962219238281,0.0,1.0
108,0,0.318456,False,0.0,0.13516996613777157,0.01790962219238281,0.0,1.0
109,0,0.263981,False,0.0,0.13705129257545964,0.018279647827148436,0.0,1.0
110,0,0.155338,False,0.0,0.1389545965718814,0.019330883026123048,0.0,1.0
111,0,0.544073,False,0.0,0.14088001759357577,0.019330883026123048,0.0,1.0
112,0,1.442385,False,0.0,0.14282769263958672,0.019330883026123048,0.0,1.0
113,0,0.862839,False,0.0,0.14479775613139054,0.02336578369140625,0.0,1.0
114,0,0.379959,False,0.0,0.14679033980138237,0.025442218780517577,0.0,1.0
115,0,0.278428,False,0.0,0.14880557257997037,0.026733016967773436,0.0,1.0
116,0,0.429251,False,0.0,0.15084358048132776,0.026733016967773436,0.0,1.0
117,0,2.493177,False,0.0,0.15290448648785823,0.026733016967773436,0.0,1.0
118,0,0.125648,False,0.0,0.15498841043343176,0.011656856536865235,0.0,1.0
119,0,0.152004,False,0.0,0.1570954688854527,0.011656856536865235,0.0,1.0
120,0,0.396319,False,0.0,0.15922577502582452,0.011656856536865235,0.0,1.0
121,0,0.311785,False,0.0,0.16137943853087977,0.011930084228515625,0.0,1.0
122,0,0.131207,False,0.0,0.1635565654503468,0.012252521514892579,0.0,1.0
123,0,0.173471,False,0.0,0.16575725808542907,0.012252521514892579,0.0,1.0
124,0,1.059252,False,0.0,0.16798161486607552,0.012252521514892579,0.0,1.0
125,0,0.657583,False,0.0,0.1702297302275252,0.01406412124633789,0.0,1.0
126,0,0.337248,False,0.0,0.17250169448621216,0.01612825393676758,0.0,1.0
127,0,1.072421,False,0.0,0.1747975937151207,0.01612825393676758,0.0,1.0
128,0,0.491574,False,0.0,0.1771175096186845,0.01793365478515625,0.0,1.0
129,0,0.740558,False,0.0,0.17946151940732682,0.01793365478515625,0.0,1.0
130,0,0.698655,False,0.0,0.1818296956717433,0.01823139190673828,0.0,1.0
131,0,0.207168,False,0.0,0.18422210625703123,0.020765399932861327,0.0,1.0
132,0,0.375702,False,0.0,0.1866388141367734,0.020765399932861327,0.0,1.0
133,0,0.132927,False,0.0,0.18907987728718928,0.02175111770629883,0.0,1.0
134,0,0.474188,False,0.0,0.19154534856146752,0.02175111770629883,0.0,1.0
135,0,0.166529,False,0.0,0.1940352755643991,0.023517322540283204,0.0,1.0
136,0,0.427798,False,0.0,0.1965497005274337,0.023517322540283204,0.0,1.0
137,0,0.929013,False,0.0,0.19908866018428378,0.023517322540283204,0.0,1.0
138,0,0.258959,False,0.0,0.20165218564720608,0.02447996139526367,0.0,1.0
139,0,1.19622,False,0.0,0.2042403022840918,0.02447996139526367,0.0,1.0
140,0,0.508986,False,0.0,0.2068530295965009,0.02451333999633789,0.0,1.0
141,0,0.888305,False,0.0,0.20949038109877877,0.02451333999633789,0.0,1.0
142,0,0.513606,False,0.0,0.21215236419839478,0.024322319030761718,0.0,1.0
143,0,0.222799,False,0.0,0.21483898007764848,0.024192428588867186,0.0,1.0
144,0,0.629672,False,0.0,0.21755022357688744,0.024192428588867186,0.0,1.0
145,0,0.219782,False,0.0,0.2202860830793872,0.024133014678955077,0.0,1.0
146,0,0.687523,False,0.0,0.2230465403980427,0.024133014678955077,0.0,1.0
147,0,0.36493,False,0.0,0.22583157066402545,0.024118995666503905,0.0,1.0
148,0,0.599177,False,0.0,0.22864114221756085,0.024118995666503905,0.0,1.0
149,0,0.134143,False,0.0,0.23147521650098232,0.02200450897216797,0.0,1.0
150,0,0.21341,False,0.0,0.23433374795422077,0.02200450897216797,0.0,1.0
151,0,0.158388,False,0.0,0.237216683912889,0.02146778106689453,0.0,1.0
152,0,0.421856,False,0.0,0.24012396450912174,0.02146778106689453,0.0,1.0
153,0,0.606432,False,0.0,0.24305552257533283,0.02146778106689453,0.0,1.0
154,0,0.143509,False,0.0,0.2460112835510519,0.024023723602294923,0.0,1.0
155,0,0.082555,False,0.0,0.24899116539300367,0.024579715728759766,0.0,1.0
156,0,1.083946,False,0.0,0.2519950784885917,0.024579715728759766,0.0,1.0
157,0,1.266691,False,0.0,0.25502292557295014,0.024579715728759766,0.0,1.0
158,0,0.306099,False,0.0,0.2580746016497258,0.01890697479248047,0.0,1.0
159,0,0.295371,False,0.0,0.261149993915751,0.018956375122070313,0.0,1.0
160,0,0.09302,False,0.0,0.2642489816897696,0.020192718505859374,0.0,1.0
161,0,0.094908,False,0.0,0.26737143634537386,0.020192718505859374,0.0,1.0
162,0,0.520912,False,0.0,0.2705172212483106,0.020192718505859374,0.0,1.0
163,0,0.094704,False,0.0,0.273686191698313,0.022133541107177735,0.0,1.0
164,0,0.35358,False,0.0,0.27687819487561016,0.022133636474609374,0.0,1.0
165,0,0.119638,False,0.0,0.28009306979226756,0.022373294830322264,0.0,1.0
166,0,0.641757,False,0.0,0.2833306472485044,0.022373294830322264,0.0,1.0
167,0,0.24761,False,0.0,0.2865907497941342,0.023110675811767577,0.0,1.0
168,0,0.268118,False,0.0,0.28987319169527037,0.023110675811767577,0.0,1.0
169,0,0.090184,False,0.0,0.29317777890643243,0.023490715026855468,0.0,1.0
170,0,0.371332,False,0.0,0.29650430904818886,0.023490715026855468,0.0,1.0
171,0,0.729502,False,0.0,0.2998525713904629,0.023490715026855468,0.0,1.0
172,0,0.467752,False,0.0,0.3032223468416272,0.024543952941894532,0.0,1.0
173,0,0.199327,False,0.0,0.3066134079435043,0.02739553451538086,0.0,1.0
174,0,0.263152,False,0.0,0.3100255188723875,0.02739553451538086,0.0,1.0
175,0,0.104928,False,0.0,0.3134584354461889,0.02724008560180664,0.0,1.0
176,0,0.166059,False,0.0,0.31691190513781486,0.02724008560180664,0.0,1.0
177,0,0.559299,False,0.0,0.3203856670948646,0.02724008560180664,0.0,1.0
0,1,3.300424,False,0.0,0.027014379637878443,0.0,0.0,1.0
1,1,2.975708,False,0.0,0.02743813109833486,0.0036328315734863283,0.0,1.0
2,1,2.861209,False,0.0,0.0278683392006816,0.003636455535888672,0.0,1.0
3,1,2.476204,False,0.0,0.028305096310927595,0.0046788215637207035,0.0,1.0
4,1,2.380148,False,0.0,0.02874849592653997,0.004738044738769531,0.0,1.0
5,1,2.352033,False,0.0,0.02919863268418474,0.004749011993408203,0.0,1.0
6,1,2.135287,False,0.0,0.02965560236730284,0.005134391784667969,0.0,1.0
7,1,2.191341,False,0.0,0.03011950191351196,0.005134391784667969,0.0,1.0
8,1,1.865582,False,0.0,0.030590429421823905,0.0056054115295410155,0.0,1.0
9,1,1.875971,False,0.0,0.03106848415966741,0.0056054115295410155,0.0,1.0
10,1,1.820721,False,0.0,0.03155376656970557,0.005866241455078125,0.0,1.0
11,1,1.373037,False,0.0,0.03204637827643718,0.007479286193847657,0.0,1.0
12,1,1.480223,False,0.0,0.032546422092570575,0.007479286193847657,0.0,1.0
13,1,1.465952,False,0.0,0.03305400202515856,0.007549285888671875,0.0,1.0
14,1,1.728523,False,0.0,0.03356922328148251,0.007549285888671875,0.0,1.0
