step,domain,loss,bhaya_fired,bhaya_firing_rate,buddhi_score,vairagya_protection_frac,karma_pruned_frac,prana_level
0,0,1.244383,False,0.0,0.027014379637878443,0.0,0.0,1.0
1,0,1.186861,False,0.0,0.02743813109833486,0.003967380523681641,0.0,1.0
2,0,1.127513,False,0.0,0.0278683392006816,0.004207134246826172,0.0,1.0
3,0,1.559633,False,0.0,0.028305096310927595,0.004207134246826172,0.0,1.0
4,0,0.83581,False,0.0,0.02874849592653997,0.004634189605712891,0.0,1.0
5,0,0.359669,False,0.0,0.02919863268418474,0.005773162841796875,0.0,1.0
6,0,1.100474,False,0.0,0.02965560236730284,0.005773162841796875,0.0,1.0
7,0,1.412234,False,0.0,0.03011950191351196,0.005773162841796875,0.0,1.0
8,0,0.631372,False,0.0,0.030590429421823905,0.009016323089599609,0.0,1.0
9,0,0.696693,False,0.0,0.03106848415966741,0.009016323089599609,0.0,1.0
10,0,0.380864,False,0.0,0.03155376656970557,0.010620403289794921,0.0,1.0
11,0,0.93882,False,0.0,0.03204637827643718,0.010620403289794921,0.0,1.0
12,0,0.064807,False,0.0,0.032546422092570575,0.012851715087890625,0.0,1.0
13,0,0.900998,False,0.0,0.03305400202515856,0.012851715087890625,0.0,1.0
14,0,0.513706,False,0.0,0.03356922328148251,0.013402843475341797,0.0,1.0
15,0,0.538685,False,0.0,0.03409219227467352,0.013402843475341797,0.0,1.0
16,0,1.033153,False,0.0,0.03462301662905805,0.013402843475341797,0.0,1.0
17,0,2.667269,False,0.0,0.03516180518521524,0.013402843475341797,0.0,1.0
18,0,0.719245,False,0.0,0.035708668004732894,0.014716339111328126,0.0,1.0
19,0,0.236642,False,0.0,0.036263716374648335,0.016229915618896484,0.0,1.0
20,0,0.913819,False,0.0,0.036827062811560604,0.016229915618896484,0.0,1.0
21,0,0.148636,False,0.0,0.03739882106539965,0.019439506530761718,0.0,1.0
22,0,0.378629,False,0.0,0.03797910612283802,0.019439506530761718,0.0,1.0
23,0,0.159128,False,0.0,0.038568034210330206,0.02080812454223633,0.0,1.0
24,0,0.310348,False,0.0,0.039165722796764356,0.02080812454223633,0.0,1.0
25,0,0.451884,False,0.0,0.0397722905957109,0.02080812454223633,0.0,1.0
26,0,0.208767,False,0.0,0.040387857567251995,0.023161983489990233,0.0,1.0
27,0,0.277441,False,0.0,0.041012544919375574,0.023161983489990233,0.0,1.0
28,0,0.759811,False,0.0,0.041646475108917363,0.023161983489990233,0.0,1.0
29,0,0.284212,False,0.0,0.042289771842033794,0.02613992691040039,0.0,1.0
30,0,0.38308,False,0.0,0.04294256007418843,0.02613992691040039,0.0,1.0
31,0,0.216831,False,0.0,0.04360496600963426,0.02691030502319336,0.0,1.0
32,0,0.064756,False,0.0,0.04427711710037357,0.027385425567626954,0.0,1.0
33,0,0.807975,False,0.0,0.04495914204457714,0.027385425567626954,0.0,1.0
34,0,0.314618,False,0.0,0.04565117078444372,0.0248809814453125,0.0,1.0
35,0,0.108531,False,0.0,0.04635333450348081,0.025954437255859376,0.0,1.0
36,0,1.028597,False,0.0,0.04706576562318694,0.025954437255859376,0.0,1.0
37,0,0.860428,False,0.0,0.047788597799115824,0.026848220825195314,0.0,1.0
38,0,0.649339,False,0.0,0.048521965916301875,0.028376960754394533,0.0,1.0
39,0,1.265709,False,0.0,0.049266006084026655,0.028376960754394533,0.0,1.0
40,0,0.645708,False,0.0,0.05002085562990517,0.025067234039306642,0.0,1.0
41,0,1.076636,False,0.0,0.050786653093270864,0.025067234039306642,0.0,1.0
42,0,0.221798,False,0.0,0.05156353821783743,0.02532672882080078,0.0,1.0
43,0,0.20086,False,0.0,0.05235165194361579,0.025362586975097655,0.0,1.0
44,0,0.187042,False,0.0,0.05315113639806372,0.02541484832763672,0.0,1.0
45,0,0.789687,False,0.0,0.053962134886445655,0.02541484832763672,0.0,1.0
46,0,0.561524,False,0.0,0.05478479188137958,0.027276325225830077,0.0,1.0
47,0,0.421471,False,0.0,0.05561925301154815,0.02829599380493164,0.0,1.0
48,0,1.33119,False,0.0,0.056465665049550126,0.02829599380493164,0.0,1.0
49,0,0.862093,False,0.0,0.057324175898868755,0.02474946975708008,0.0,1.0
50,0,0.098616,False,0.0,0.058194934579932675,0.025129127502441406,0.0,1.0
51,0,0.55515,False,0.0,0.05907809121524554,0.025129127502441406,0.0,1.0
52,0,0.336429,False,0.0,0.05997379701355929,0.026337146759033203,0.0,1.0
53,0,0.228206,False,0.0,0.06088220425306674,0.026642513275146485,0.0,1.0
54,0,0.373287,False,0.0,0.06180346626358857,0.026642513275146485,0.0,1.0
55,0,0.092229,False,0.0,0.06273773740772909,0.025182628631591798,0.0,1.0
56,0,0.426062,False,0.0,0.06368517306097612,0.025182628631591798,0.0,1.0
57,0,0.512747,False,0.0,0.06464592959071908,0.025182628631591798,0.0,1.0
58,0,0.136937,False,0.0,0.06562016433415982,0.027179908752441407,0.0,1.0
59,0,0.446435,False,0.0,0.06660803557509065,0.027180004119873046,0.0,1.0
60,0,1.621275,False,0.0,0.06760970251951359,0.027180004119873046,0.0,1.0
61,0,0.605036,False,0.0,0.06862532527007503,0.020727252960205077,0.0,1.0
62,0,0.910254,False,0.0,0.06965506479929011,0.020727252960205077,0.0,1.0
63,0,0.469156,False,0.0,0.07069908292153071,0.022214984893798827,0.0,1.0
64,0,0.206849,False,0.0,0.07175754226375133,0.02334766387939453,0.0,1.0
65,0,0.53094,False,0.0,0.07283060623492708,0.023347759246826173,0.0,1.0
66,0,1.131959,False,0.0,0.07391843899417791,0.023347759246826173,0.0,1.0
67,0,1.23017,False,0.0,0.07502120541755361,0.023347759246826173,0.0,1.0
68,0,1.363591,False,0.0,0.07613907106345413,0.023347759246826173,0.0,1.0
69,0,0.235134,False,0.0,0.07727220213665989,0.017883110046386718,0.0,1.0
70,0,0.733501,False,0.0,0.07842076545094702,0.017883110046386718,0.0,1.0
71,0,0.100292,False,0.0,0.07958492839026306,0.020105361938476562,0.0,1.0
72,0,0.208003,False,0.0,0.08076485886843796,0.020105361938476562,0.0,1.0
73,0,1.165681,False,0.0,0.08196072528740715,0.020105361938476562,0.0,1.0
74,0,0.313041,False,0.0,0.08317269649392235,0.020389461517333986,0.0,1.0
75,0,0.229639,False,0.0,0.08440094173472694,0.020862007141113283,0.0,1.0
76,0,0.129497,False,0.0,0.08564563061017334,0.021550083160400392,0.0,1.0
77,0,1.644219,False,0.0,0.08690693302625986,0.021550083160400392,0.0,1.0
78,0,0.42333,False,0.0,0.08818501914506544,0.022592449188232423,0.0,1.0
79,0,0.676077,False,0.0,0.0894800593335614,0.022592449188232423,0.0,1.0
80,0,0.910393,False,0.0,0.09079222411077965,0.022592449188232423,0.0,1.0
81,0,0.124646,False,0.0,0.09212168409331789,0.021892356872558593,0.0,1.0
82,0,0.087121,False,0.0,0.09346860993916298,0.02203397750854492,0.0,1.0
83,0,0.087488,False,0.0,0.09483317228981472,0.02203397750854492,0.0,1.0
84,0,0.368637,False,0.0,0.09621554171069283,0.02203397750854492,0.0,1.0
85,0,1.488471,False,0.0,0.09761588862981131,0.02203397750854492,0.0,1.0
86,0,2.16677,False,0.0,0.0990343832747052,0.02203397750854492,0.0,1.0
87,0,0.124869,False,0.0,0.10047119560759603,0.01082019805908203,0.0,1.0
88,0,0.076617,False,0.0,0.10192649525878311,0.010825252532958985,0.0,1.0
89,0,0.255433,False,0.0,0.10340045145824957,0.010825252532958985,0.0,1.0
90,0,1.216516,False,0.0,0.10489323296547301,0.010825252532958985,0.0,1.0
91,0,0.215982,False,0.0,0.1064050079974321,0.01201019287109375,0.0,1.0
92,0,0.934406,False,0.0,0.10793594415480193,0.01201019287109375,0.0,1.0
93,0,0.127773,False,0.0,0.1094862083463327,0.013249969482421875,0.0,1.0
94,0,0.170947,False,0.0,0.11105596671140756,0.013249969482421875,0.0,1.0
95,0,0.274603,False,0.0,0.1126453845407773,0.013249969482421875,0.0,1.0
96,0,0.258863,False,0.0,0.11425462619547148,0.013302230834960937,0.0,1.0
97,0,0.763223,False,0.0,0.11588385502388747,0.013302230834960937,0.0,1.0
98,0,0.702815,False,0.0,0.11753323327706003,0.013567161560058594,0.0,1.0
99,0,0.668944,False,0.0,0.11920292202211755,0.013671398162841797,0.0,1.0
100,0,0.855845,False,0.0,0.12089308105393162,0.013671398162841797,0.0,1.0
101,0,0.161121,False,0.0,0.12260386880496972,0.016240310668945313,0.0,1.0
102,0,0.183121,False,0.0,0.12433544225336303,0.016240310668945313,0.0,1.0
103,0,0.240463,False,0.0,0.1260879568292025,0.016240310668945313,0.0,1.0
104,0,0.121222,False,0.0,0.1278615663190813,0.016703414916992187,0.0,1.0
105,0,0.649285,False,0.0,0.12965642276890063,0.016703414916992187,0.0,1.0
106,0,0.406988,False,0.0,0.1314726763849622,0.01798419952392578,0.0,1.0
107,0,0.123039,False,0.0,0.13331047543337043,0.019588756561279296,0.0,1.0
108,0,0.307043,False,0.0,0.13516996613777157,0.019588756561279296,0.0,1.0
109,0,0.270398,False,0.0,0.13705129257545964,0.019995784759521483,0.0,1.0
110,0,0.114856,False,0.0,0.1389545965718814,0.02053384780883789,0.0,1.0
111,0,0.428041,False,0.0,0.14088001759357577,0.02053384780883789,0.0,1.0
112,0,1.425519,False,0.0,0.14282769263958672,0.02053384780883789,0.0,1.0
113,0,0.821789,False,0.0,0.14479775613139054,0.02131509780883789,0.0,1.0
114,0,0.393441,False,0.0,0.14679033980138237,0.021996498107910156,0.0,1.0
115,0,0.255308,False,0.0,0.14880557257997037,0.022487831115722657,0.0,1.0
116,0,0.300728,False,0.0,0.15084358048132776,0.022487831115722657,0.0,1.0
117,0,2.561557,True,0.00847457627118644,0.15290448648785823,0.022487831115722657,0.0,1.0
118,0,0.111643,False,0.008403361344537815,0.15498841043343176,0.010992336273193359,0.0,1.0
119,0,0.172011,False,0.008333333333333333,0.1570954688854527,0.010992336273193359,0.0,1.0
120,0,0.406689,False,0.008264462809917356,0.15922577502582452,0.010992336273193359,0.0,1.0
121,0,0.423613,False,0.00819672131147541,0.16137943853087977,0.010992336273193359,0.0,1.0
122,0,0.118984,False,0.008130081300813009,0.1635565654503468,0.011411571502685547,0.0,1.0
123,0,0.206309,False,0.008064516129032258,0.16575725808542907,0.011411571502685547,0.0,1.0
124,0,1.279612,False,0.008,0.16798161486607552,0.011411571502685547,0.0,1.0
125,0,0.712266,False,0.007936507936507936,0.1702297302275252,0.013082599639892578,0.0,1.0
126,0,0.350202,False,0.007874015748031496,0.17250169448621216,0.014868545532226562,0.0,1.0
127,0,1.097819,False,0.0078125,0.1747975937151207,0.014868545532226562,0.0,1.0
128,0,0.458618,False,0.007751937984496124,0.1771175096186845,0.016449356079101564,0.0,1.0
129,0,0.694075,False,0.007692307692307693,0.17946151940732682,0.016449356079101564,0.0,1.0
130,0,0.721087,False,0.007633587786259542,0.1818296956717433,0.016449356079101564,0.0,1.0
131,0,0.254623,False,0.007575757575757576,0.18422210625703123,0.017378711700439455,0.0,1.0
132,0,0.419752,False,0.007518796992481203,0.1866388141367734,0.017378711700439455,0.0,1.0
133,0,0.126569,False,0.007462686567164179,0.18907987728718928,0.01803722381591797,0.0,1.0
134,0,0.450271,False,0.007407407407407408,0.19154534856146752,0.01803722381591797,0.0,1.0
135,0,0.195073,False,0.007352941176470588,0.1940352755643991,0.01835794448852539,0.0,1.0
136,0,0.412556,False,0.0072992700729927005,0.1965497005274337,0.01835794448852539,0.0,1.0
137,0,0.875678,False,0.007246376811594203,0.19908866018428378,0.01835794448852539,0.0,1.0
138,0,0.204885,False,0.007194244604316547,0.20165218564720608,0.018855762481689454,0.0,1.0
139,0,1.201919,False,0.007142857142857143,0.2042403022840918,0.018855762481689454,0.0,1.0
140,0,0.482564,False,0.0070921985815602835,0.2068530295965009,0.018387508392333985,0.0,1.0
141,0,0.881124,False,0.007042253521126761,0.20949038109877877,0.018387413024902342,0.0,1.0
142,0,0.443394,False,0.006993006993006993,0.21215236419839478,0.018227672576904295,0.0,1.0
143,0,0.195881,False,0.006944444444444444,0.21483898007764848,0.017554378509521483,0.0,1.0
144,0,0.556471,False,0.006896551724137931,0.21755022357688744,0.017554378509521483,0.0,1.0
145,0,0.258958,False,0.00684931506849315,0.2202860830793872,0.018970584869384764,0.0,1.0
146,0,0.857026,False,0.006802721088435374,0.2230465403980427,0.018970584869384764,0.0,1.0
147,0,0.365172,False,0.006756756756756757,0.22583157066402545,0.021789932250976564,0.0,1.0
148,0,0.604503,False,0.006711409395973154,0.22864114221756085,0.021789932250976564,0.0,1.0
149,0,0.185815,False,0.006666666666666667,0.23147521650098232,0.022461605072021485,0.0,1.0
150,0,0.128397,False,0.006622516556291391,0.23433374795422077,0.022493553161621094,0.0,1.0
151,0,0.281227,False,0.006578947368421052,0.237216683912889,0.022493553161621094,0.0,1.0
152,0,0.526435,False,0.006535947712418301,0.24012396450912174,0.022493553161621094,0.0,1.0
153,0,0.669708,False,0.006493506493506494,0.24305552257533283,0.022493553161621094,0.0,1.0
154,0,0.147013,False,0.0064516129032258064,0.2460112835510519,0.021943187713623045,0.0,1.0
155,0,0.068302,False,0.00641025641025641,0.24899116539300367,0.022103214263916017,0.0,1.0
156,0,0.83146,False,0.006369426751592357,0.2519950784885917,0.022103214263916017,0.0,1.0
157,0,1.007718,False,0.006329113924050633,0.25502292557295014,0.022103214263916017,0.0,1.0
158,0,0.217387,False,0.006289308176100629,0.2580746016497258,0.02210988998413086,0.0,1.0
159,0,0.267233,False,0.00625,0.261149993915751,0.022109794616699218,0.0,1.0
160,0,0.094051,False,0.006211180124223602,0.2642489816897696,0.023228263854980467,0.0,1.0
161,0,0.125694,False,0.006172839506172839,0.26737143634537386,0.023228263854980467,0.0,1.0
162,0,0.413923,False,0.006134969325153374,0.2705172212483106,0.023228263854980467,0.0,1.0
163,0,0.094044,False,0.006097560975609756,0.273686191698313,0.02393789291381836,0.0,1.0
164,0,0.376978,False,0.006060606060606061,0.27687819487561016,0.02393789291381836,0.0,1.0
165,0,0.104789,False,0.006024096385542169,0.28009306979226756,0.02379598617553711,0.0,1.0
166,0,0.631679,False,0.005988023952095809,0.2833306472485044,0.02379598617553711,0.0,1.0
167,0,0.188496,False,0.005952380952380952,0.2865907497941342,0.024541950225830077,0.0,1.0
168,0,0.274606,False,0.005917159763313609,0.28987319169527037,0.024541950225830077,0.0,1.0
169,0,0.086025,False,0.0058823529411764705,0.29317777890643243,0.023717975616455077,0.0,1.0
170,0,0.319126,False,0.005847953216374269,0.29650430904818886,0.023717975616455077,0.0,1.0
171,0,0.757381,False,0.005813953488372093,0.2998525713904629,0.023717975616455077,0.0,1.0
172,0,0.399883,False,0.005780346820809248,0.3032223468416272,0.025336647033691408,0.0,1.0
173,0,0.159443,False,0.005747126436781609,0.3066134079435043,0.025747203826904298,0.0,1.0
174,0,0.28337,False,0.005714285714285714,0.3100255188723875,0.025747203826904298,0.0,1.0
175,0,0.151518,False,0.005681818181818182,0.3134584354461889,0.025933265686035156,0.0,1.0
176,0,0.156744,False,0.005649717514124294,0.31691190513781486,0.025933265686035156,0.0,1.0
177,0,0.572507,False,0.0056179775280898875,0.3203856670948646,0.025933265686035156,0.0,1.0
0,1,3.268679,False,0.0,0.027014379637878443,0.0,0.0,1.0
1,1,2.948412,False,0.0,0.02743813109833486,0.0040493965148925785,0.0,1.0
2,1,2.768761,False,0.0,0.0278683392006816,0.0042743682861328125,0.0,1.0
3,1,2.382439,False,0.0,0.028305096310927595,0.005940532684326172,0.0,1.0
4,1,2.323572,False,0.0,0.02874849592653997,0.006085872650146484,0.0,1.0
5,1,2.242696,False,0.0,0.02919863268418474,0.006118106842041016,0.0,1.0
6,1,2.028883,False,0.0,0.02965560236730284,0.006993675231933593,0.0,1.0
7,1,2.085315,False,0.0,0.03011950191351196,0.006993675231933593,0.0,1.0
